QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2019,2628,15214794
2019,3380,15074829
2019,4415,14513463
2019,849,12802319
2019,3376,12797380
2019,2404,12267963
2019,2487,11798748
2019,3386,11748261
2019,3519,11302506
2019,3357,11021576
2019,2405,10994182
2019,855,10960366
2019,2101,10886040
2019,1359,10651959
2019,416,10643736
2019,414,10508483
2019,3516,10470172
2019,2816,10389234
2019,2326,10385162
2019,415,10376980
2019,3060,10286439
2019,3381,10220221
2019,2929,10180418
2019,2403,10028838
2019,3385,9798994
2019,3393,9642213
2019,2438,9526399
2019,538,9521884
2019,3052,9512605
2019,2316,9451319
2019,3392,9392047
2019,5003,9264195
2019,2329,9150019
2019,3360,9047206
2019,2173,8951120
2019,725,8939122
2019,2868,8919345
2019,3059,8915970
2019,2833,8896009
2019,2425,8765967
2019,2337,8735384
2019,2985,8726117
2019,3383,8721061
2019,2416,8719952
2019,948,8713087
2019,2100,8662066
2019,2918,8608080
2019,3384,8577552
2019,3706,8554936
2019,3735,8547663
2019,429,8546200
2019,4975,8495914
2019,408,8489207
2019,117,8480639
2019,3382,8458130
2019,2437,8398957
2019,4711,8368610
2019,2412,8317745
2019,2701,8306355
2019,1144,8283711
2019,4742,8246600
2019,3174,8231334
2019,2315,8215057
2019,2409,8199236
2019,2103,8183079
2019,2420,8158154
2019,2172,8112255
2019,4169,8102923
2019,2421,8097272
2019,3390,8089466
2019,2827,8076741
2019,2406,8074901
2019,4686,8044804
2019,4461,8040605
2019,2157,8029109
2019,814,8024850
2019,999,8004980
2019,4381,7998536
2019,2756,7996983
2019,2899,7992581
2019,2336,7984163
2019,2020,7960015
2019,2424,7933306
2019,4187,7924973
2019,2104,7907342
2019,3681,7894714
2019,2613,7893140
2019,3191,7855415
2019,2161,7826470
2019,3151,7785241
2019,3693,7785108
2019,3022,7750093
2019,2614,7748043
2019,3671,7730188
2019,2408,7701835
2019,195,7690928
2019,2411,7681839
2019,1038,7674628
2019,2407,7654175
2019,185,7625027
